question,expected_keywords,expected_conditions,expect_company,expect_indicator,expect_time,description
截至2023年底国药一致的固定资产(合计),"国药一致,000028.SZ,固定资产(合计),STM_BS_TOT","<=,2023",国药一致,固定资产(合计),until_2023,[financial_statements] 验证 固定资产(合计) (table)
截至2023年底农产品的短期借款,"农产品,000061.SZ,短期借款,ST_BORROW","<=,2023",农产品,短期借款,until_2023,[financial_statements] 验证 短期借款 (table)
中国长城的短期借款是多少,"中国长城,000066.SZ,短期借款,ST_BORROW",,中国长城,短期借款,10y,[financial_statements] 验证 短期借款 (table)
新金路的盈余公积是多少,"新金路,000510.SZ,盈余公积,SURPLUS_RSRV",,新金路,盈余公积,10y,[financial_statements] 验证 盈余公积 (table)
东方盛虹最近一年的盈余公积走势,"东方盛虹,000301.SZ,盈余公积,SURPLUS_RSRV",,东方盛虹,盈余公积,1y,[financial_statements] 验证 盈余公积 (table)
丽珠集团的管理费用率是多少,"丽珠集团,000513.SZ,管理费用率,S_FA_ADMINEXPENSETOGR",,丽珠集团,管理费用率,10y,[financial_statements] 验证 管理费用率 (table)
徐工机械最新的管理费用率,"徐工机械,000425.SZ,管理费用率,S_FA_ADMINEXPENSETOGR","ORDER BY,LIMIT 1",徐工机械,管理费用率,latest,[financial_statements] 验证 管理费用率 (table)
丽珠集团最近一年的应收账款周转率走势,"丽珠集团,000513.SZ,应收账款周转率,S_FA_ARTURN",,丽珠集团,应收账款周转率,1y,[financial_statements] 验证 应收账款周转率 (table)
国药一致最新的应收账款周转率,"国药一致,000028.SZ,应收账款周转率,S_FA_ARTURN","ORDER BY,LIMIT 1",国药一致,应收账款周转率,latest,[financial_statements] 验证 应收账款周转率 (table)
全新好最近一年的应收账款周转天数走势,"全新好,000007.SZ,应收账款周转天数,S_FA_ARTURNDAYS",,全新好,应收账款周转天数,1y,[financial_statements] 验证 应收账款周转天数 (table)
云鼎科技的应收账款周转天数是多少,"云鼎科技,000409.SZ,应收账款周转天数,S_FA_ARTURNDAYS",,云鼎科技,应收账款周转天数,10y,[financial_statements] 验证 应收账款周转天数 (table)
2023年长虹华意的权益乘数,"长虹华意,000404.SZ,权益乘数,S_FA_ASSETSTOEQUITY",2023,长虹华意,权益乘数,2023,[financial_statements] 验证 权益乘数 (table)
截至2023年底珠海港的权益乘数,"珠海港,000507.SZ,权益乘数,S_FA_ASSETSTOEQUITY","<=,2023",珠海港,权益乘数,until_2023,[financial_statements] 验证 权益乘数 (table)
深科技最近一年的总资产周转率走势,"深科技,000021.SZ,总资产周转率,S_FA_ASSETSTURN",,深科技,总资产周转率,1y,[financial_statements] 验证 总资产周转率 (table)
华锦股份最新的总资产周转率,"华锦股份,000059.SZ,总资产周转率,S_FA_ASSETSTURN","ORDER BY,LIMIT 1",华锦股份,总资产周转率,latest,[financial_statements] 验证 总资产周转率 (table)
盐田港的每股净资产BPS是多少,"盐田港,000088.SZ,每股净资产BPS,S_FA_BPS",,盐田港,每股净资产BPS,10y,[financial_statements] 验证 每股净资产BPS (table)
截至2023年底英特集团的每股净资产BPS,"英特集团,000411.SZ,每股净资产BPS,S_FA_BPS","<=,2023",英特集团,每股净资产BPS,until_2023,[financial_statements] 验证 每股净资产BPS (table)
2023年天健集团的归母每股净资产BPS,"天健集团,000090.SZ,归母每股净资产BPS,S_FA_BPS_SH",2023,天健集团,归母每股净资产BPS,2023,[financial_statements] 验证 归母每股净资产BPS (table)
查一下东阿阿胶的归母每股净资产BPS,"东阿阿胶,000423.SZ,归母每股净资产BPS,S_FA_BPS_SH",,东阿阿胶,归母每股净资产BPS,10y,[financial_statements] 验证 归母每股净资产BPS (table)
截至2023年底武商集团的货币资金／流动负债,"武商集团,000501.SZ,货币资金／流动负债,S_FA_CASHTOLIQDEBT","<=,2023",武商集团,货币资金／流动负债,until_2023,[financial_statements] 验证 货币资金／流动负债 (table)
英特集团的货币资金／流动负债是多少,"英特集团,000411.SZ,货币资金／流动负债,S_FA_CASHTOLIQDEBT",,英特集团,货币资金／流动负债,10y,[financial_statements] 验证 货币资金／流动负债 (table)
合百集团的流动资产周转率是多少,"合百集团,000417.SZ,流动资产周转率,S_FA_CATURN",,合百集团,流动资产周转率,10y,[financial_statements] 验证 流动资产周转率 (table)
查一下天健集团的流动资产周转率,"天健集团,000090.SZ,流动资产周转率,S_FA_CATURN",,天健集团,流动资产周转率,10y,[financial_statements] 验证 流动资产周转率 (table)
华数传媒的每股现金流CFPS是多少,"华数传媒,000156.SZ,每股现金流CFPS,S_FA_CFPS",,华数传媒,每股现金流CFPS,10y,[financial_statements] 验证 每股现金流CFPS (table)
截至2023年底藏格矿业的每股现金流CFPS,"藏格矿业,000408.SZ,每股现金流CFPS,S_FA_CFPS","<=,2023",藏格矿业,每股现金流CFPS,until_2023,[financial_statements] 验证 每股现金流CFPS (table)
长虹华意的销售成本率是多少,"长虹华意,000404.SZ,销售成本率,S_FA_COGSTOSALES",,长虹华意,销售成本率,10y,[financial_statements] 验证 销售成本率 (table)
深圳能源最近一年的销售成本率走势,"深圳能源,000027.SZ,销售成本率,S_FA_COGSTOSALES",,深圳能源,销售成本率,1y,[financial_statements] 验证 销售成本率 (table)
2023年长虹华意的流动比,"长虹华意,000404.SZ,流动比,S_FA_CURRENT",2023,长虹华意,流动比,2023,[financial_statements] 验证 流动比 (table)
截至2023年底沙河股份的流动比,"沙河股份,000014.SZ,流动比,S_FA_CURRENT","<=,2023",沙河股份,流动比,until_2023,[financial_statements] 验证 流动比 (table)
2023年徐工机械的资产负债率,"徐工机械,000425.SZ,资产负债率,S_FA_DEBTTOASSETS",2023,徐工机械,资产负债率,2023,[financial_statements] 验证 资产负债率 (table)
平安银行最近一年的资产负债率走势,"平安银行,000001.SZ,资产负债率,S_FA_DEBTTOASSETS",,平安银行,资产负债率,1y,[financial_statements] 验证 资产负债率 (table)
查一下长虹华意的产权比率,"长虹华意,000404.SZ,产权比率,S_FA_DEBTTOEQUITY",,长虹华意,产权比率,10y,[financial_statements] 验证 产权比率 (table)
金隅冀东的产权比率是多少,"金隅冀东,000401.SZ,产权比率,S_FA_DEBTTOEQUITY",,金隅冀东,产权比率,10y,[financial_statements] 验证 产权比率 (table)
截至2023年底东方盛虹的扣非归母净利润,"东方盛虹,000301.SZ,扣非归母净利润,S_FA_DEDUCTEDPROFIT","<=,2023",东方盛虹,扣非归母净利润,until_2023,[financial_statements] 验证 扣非归母净利润 (table)
沈阳机床最新的扣非归母净利润,"沈阳机床,000410.SZ,扣非归母净利润,S_FA_DEDUCTEDPROFIT","ORDER BY,LIMIT 1",沈阳机床,扣非归母净利润,latest,[financial_statements] 验证 扣非归母净利润 (table)
招金黄金最近一年的息税前利润走势,"招金黄金,000506.SZ,息税前利润,S_FA_EBIT",,招金黄金,息税前利润,1y,[financial_statements] 验证 息税前利润 (table)
特力A最新的息税前利润,"特力A,000025.SZ,息税前利润,S_FA_EBIT","ORDER BY,LIMIT 1",特力A,息税前利润,latest,[financial_statements] 验证 息税前利润 (table)
查一下华锦股份的息税折旧摊销前利润,"华锦股份,000059.SZ,息税折旧摊销前利润,S_FA_EBITDA",,华锦股份,息税折旧摊销前利润,10y,[financial_statements] 验证 息税折旧摊销前利润 (table)
胜利股份最新的息税折旧摊销前利润,"胜利股份,000407.SZ,息税折旧摊销前利润,S_FA_EBITDA","ORDER BY,LIMIT 1",胜利股份,息税折旧摊销前利润,latest,[financial_statements] 验证 息税折旧摊销前利润 (table)
北方国际最近一年的每股收益EPS(基本)走势,"北方国际,000065.SZ,每股收益EPS(基本),S_FA_EPS_BASIC",,北方国际,每股收益EPS(基本),1y,[financial_statements] 验证 每股收益EPS(基本) (table)
深深房A最新的每股收益EPS(基本),"深深房A,000029.SZ,每股收益EPS(基本),S_FA_EPS_BASIC","ORDER BY,LIMIT 1",深深房A,每股收益EPS(基本),latest,[financial_statements] 验证 每股收益EPS(基本) (table)
华天酒店的每股收益EPS(摊薄)是多少,"华天酒店,000428.SZ,每股收益EPS(摊薄),S_FA_EPS_DILUTED",,华天酒店,每股收益EPS(摊薄),10y,[financial_statements] 验证 每股收益EPS(摊薄) (table)
招金黄金的每股收益EPS(摊薄)是多少,"招金黄金,000506.SZ,每股收益EPS(摊薄),S_FA_EPS_DILUTED",,招金黄金,每股收益EPS(摊薄),10y,[financial_statements] 验证 每股收益EPS(摊薄) (table)
2023年徐工机械的每股收益EPS(稀释),"徐工机械,000425.SZ,每股收益EPS(稀释),S_FA_EPS_DILUTED2",2023,徐工机械,每股收益EPS(稀释),2023,[financial_statements] 验证 每股收益EPS(稀释) (table)
神州高铁最近一年的每股收益EPS(稀释)走势,"神州高铁,000008.SZ,每股收益EPS(稀释),S_FA_EPS_DILUTED2",,神州高铁,每股收益EPS(稀释),1y,[financial_statements] 验证 每股收益EPS(稀释) (table)
截至2023年底国际医学的每股收益EPS(扣除),"国际医学,000516.SZ,每股收益EPS(扣除),S_FA_EPS_EX","<=,2023",国际医学,每股收益EPS(扣除),until_2023,[financial_statements] 验证 每股收益EPS(扣除) (table)
潍柴动力最近一年的每股收益EPS(扣除)走势,"潍柴动力,000338.SZ,每股收益EPS(扣除),S_FA_EPS_EX",,潍柴动力,每股收益EPS(扣除),1y,[financial_statements] 验证 每股收益EPS(扣除) (table)
华天酒店的每股收益EPS(扣除/基本)是多少,"华天酒店,000428.SZ,每股收益EPS(扣除/基本),S_FA_EPS_EXBASIC",,华天酒店,每股收益EPS(扣除/基本),10y,[financial_statements] 验证 每股收益EPS(扣除/基本) (table)
藏格矿业最近一年的每股收益EPS(扣除/基本)走势,"藏格矿业,000408.SZ,每股收益EPS(扣除/基本),S_FA_EPS_EXBASIC",,藏格矿业,每股收益EPS(扣除/基本),1y,[financial_statements] 验证 每股收益EPS(扣除/基本) (table)
华数传媒最新的每股收益EPS(扣除/稀释),"华数传媒,000156.SZ,每股收益EPS(扣除/稀释),S_FA_EPS_EXDILUTED","ORDER BY,LIMIT 1",华数传媒,每股收益EPS(扣除/稀释),latest,[financial_statements] 验证 每股收益EPS(扣除/稀释) (table)
查一下沈阳机床的每股收益EPS(扣除/稀释),"沈阳机床,000410.SZ,每股收益EPS(扣除/稀释),S_FA_EPS_EXDILUTED",,沈阳机床,每股收益EPS(扣除/稀释),10y,[financial_statements] 验证 每股收益EPS(扣除/稀释) (table)
丽珠集团的费用率是多少,"丽珠集团,000513.SZ,费用率,S_FA_EXPENSETOSALES",,丽珠集团,费用率,10y,[financial_statements] 验证 费用率 (table)
查一下海王生物的费用率,"海王生物,000078.SZ,费用率,S_FA_EXPENSETOSALES",,海王生物,费用率,10y,[financial_statements] 验证 费用率 (table)
兴业银锡最近一年的非经常性损益走势,"兴业银锡,000426.SZ,非经常性损益,S_FA_EXTRAORDINARY",,兴业银锡,非经常性损益,1y,[financial_statements] 验证 非经常性损益 (table)
截至2023年底华联控股的非经常性损益,"华联控股,000036.SZ,非经常性损益,S_FA_EXTRAORDINARY","<=,2023",华联控股,非经常性损益,until_2023,[financial_statements] 验证 非经常性损益 (table)
查一下渝开发的固定资产周转率,"渝开发,000514.SZ,固定资产周转率,S_FA_FATURN",,渝开发,固定资产周转率,10y,[financial_statements] 验证 固定资产周转率 (table)
2023年潍柴动力的固定资产周转率,"潍柴动力,000338.SZ,固定资产周转率,S_FA_FATURN",2023,潍柴动力,固定资产周转率,2023,[financial_statements] 验证 固定资产周转率 (table)
英特集团最近一年的企业自由现金流量(FCFF)走势,"英特集团,000411.SZ,企业自由现金流量(FCFF),S_FA_FCFF",,英特集团,企业自由现金流量(FCFF),1y,[financial_statements] 验证 企业自由现金流量(FCFF) (table)
华控赛格最新的企业自由现金流量(FCFF),"华控赛格,000068.SZ,企业自由现金流量(FCFF),S_FA_FCFF","ORDER BY,LIMIT 1",华控赛格,企业自由现金流量(FCFF),latest,[financial_statements] 验证 企业自由现金流量(FCFF) (table)
截至2023年底沈阳机床的每股企业自由现金流FCFFPS,"沈阳机床,000410.SZ,每股企业自由现金流FCFFPS,S_FA_FCFFPS","<=,2023",沈阳机床,每股企业自由现金流FCFFPS,until_2023,[financial_statements] 验证 每股企业自由现金流FCFFPS (table)
中集集团的每股企业自由现金流FCFFPS是多少,"中集集团,000039.SZ,每股企业自由现金流FCFFPS,S_FA_FCFFPS",,中集集团,每股企业自由现金流FCFFPS,10y,[financial_statements] 验证 每股企业自由现金流FCFFPS (table)
中国宝安最新的财务费用率,"中国宝安,000009.SZ,财务费用率,S_FA_FINAEXPENSETOGR","ORDER BY,LIMIT 1",中国宝安,财务费用率,latest,[financial_statements] 验证 财务费用率 (table)
2023年华锦股份的财务费用率,"华锦股份,000059.SZ,财务费用率,S_FA_FINAEXPENSETOGR",2023,华锦股份,财务费用率,2023,[financial_statements] 验证 财务费用率 (table)
截至2023年底吉林化纤的毛利润,"吉林化纤,000420.SZ,毛利润,S_FA_GROSSMARGIN","<=,2023",吉林化纤,毛利润,until_2023,[financial_statements] 验证 毛利润 (table)
皇庭国际的毛利润是多少,"皇庭国际,000056.SZ,毛利润,S_FA_GROSSMARGIN",,皇庭国际,毛利润,10y,[financial_statements] 验证 毛利润 (table)
截至2023年底ST晨鸣的毛利率,"ST晨鸣,000488.SZ,毛利率,S_FA_GROSSPROFITMARGIN","<=,2023",ST晨鸣,毛利率,until_2023,[financial_statements] 验证 毛利率 (table)
皇庭国际的毛利率是多少,"皇庭国际,000056.SZ,毛利率,S_FA_GROSSPROFITMARGIN",,皇庭国际,毛利率,10y,[financial_statements] 验证 毛利率 (table)
查一下派林生物的存货周转率,"派林生物,000403.SZ,存货周转率,S_FA_INVTURN",,派林生物,存货周转率,10y,[financial_statements] 验证 存货周转率 (table)
2023年南京公用的存货周转率,"南京公用,000421.SZ,存货周转率,S_FA_INVTURN",2023,南京公用,存货周转率,2023,[financial_statements] 验证 存货周转率 (table)
截至2023年底中洲控股的存货周转天数,"中洲控股,000042.SZ,存货周转天数,S_FA_INVTURNDAYS","<=,2023",中洲控股,存货周转天数,until_2023,[financial_statements] 验证 存货周转天数 (table)
胜利股份的存货周转天数是多少,"胜利股份,000407.SZ,存货周转天数,S_FA_INVTURNDAYS",,胜利股份,存货周转天数,10y,[financial_statements] 验证 存货周转天数 (table)
查一下中兴通讯的净利率,"中兴通讯,000063.SZ,净利率,S_FA_NETPROFITMARGIN",,中兴通讯,净利率,10y,[financial_statements] 验证 净利率 (table)
截至2023年底新金路的净利率,"新金路,000510.SZ,净利率,S_FA_NETPROFITMARGIN","<=,2023",新金路,净利率,until_2023,[financial_statements] 验证 净利率 (table)
中集集团最近一年的每股经营现金流OCFPS走势,"中集集团,000039.SZ,每股经营现金流OCFPS,S_FA_OCFPS",,中集集团,每股经营现金流OCFPS,1y,[financial_statements] 验证 每股经营现金流OCFPS (table)
截至2023年底广聚能源的每股经营现金流OCFPS,"广聚能源,000096.SZ,每股经营现金流OCFPS,S_FA_OCFPS","<=,2023",广聚能源,每股经营现金流OCFPS,until_2023,[financial_statements] 验证 每股经营现金流OCFPS (table)
2023年美丽生态的速动比,"美丽生态,000010.SZ,速动比,S_FA_QUICK",2023,美丽生态,速动比,2023,[financial_statements] 验证 速动比 (table)
藏格矿业的速动比是多少,"藏格矿业,000408.SZ,速动比,S_FA_QUICK",,藏格矿业,速动比,10y,[financial_statements] 验证 速动比 (table)
北方国际最近一年的总资产净利率ROA走势,"北方国际,000065.SZ,总资产净利率ROA,S_FA_ROA",,北方国际,总资产净利率ROA,1y,[financial_statements] 验证 总资产净利率ROA (table)
沙河股份最新的总资产净利率ROA,"沙河股份,000014.SZ,总资产净利率ROA,S_FA_ROA","ORDER BY,LIMIT 1",沙河股份,总资产净利率ROA,latest,[financial_statements] 验证 总资产净利率ROA (table)
查一下国际医学的净资产收益率ROE(平均),"国际医学,000516.SZ,净资产收益率ROE(平均),S_FA_ROE",,国际医学,净资产收益率ROE(平均),10y,[financial_statements] 验证 净资产收益率ROE(平均) (table)
丰原药业最新的净资产收益率ROE(平均),"丰原药业,000153.SZ,净资产收益率ROE(平均),S_FA_ROE","ORDER BY,LIMIT 1",丰原药业,净资产收益率ROE(平均),latest,[financial_statements] 验证 净资产收益率ROE(平均) (table)
2023年武商集团的净资产收益率ROE(扣非),"武商集团,000501.SZ,净资产收益率ROE(扣非),S_FA_ROE_DEDUCTED",2023,武商集团,净资产收益率ROE(扣非),2023,[financial_statements] 验证 净资产收益率ROE(扣非) (table)
中集集团最近一年的净资产收益率ROE(扣非)走势,"中集集团,000039.SZ,净资产收益率ROE(扣非),S_FA_ROE_DEDUCTED",,中集集团,净资产收益率ROE(扣非),1y,[financial_statements] 验证 净资产收益率ROE(扣非) (table)
深物业A的投入资本回报率ROIC是多少,"深物业A,000011.SZ,投入资本回报率ROIC,S_FA_ROIC",,深物业A,投入资本回报率ROIC,10y,[financial_statements] 验证 投入资本回报率ROIC (table)
金隅冀东的投入资本回报率ROIC是多少,"金隅冀东,000401.SZ,投入资本回报率ROIC,S_FA_ROIC",,金隅冀东,投入资本回报率ROIC,10y,[financial_statements] 验证 投入资本回报率ROIC (table)
中金岭南的销售费用率是多少,"中金岭南,000060.SZ,销售费用率,S_FA_SALEEXPENSETOGR",,中金岭南,销售费用率,10y,[financial_statements] 验证 销售费用率 (table)
2023年*ST张股的销售费用率,"*ST张股,000430.SZ,销售费用率,S_FA_SALEEXPENSETOGR",2023,*ST张股,销售费用率,2023,[financial_statements] 验证 销售费用率 (table)
平安银行最近一年的营业周期走势,"平安银行,000001.SZ,营业周期,S_FA_TURNDAYS",,平安银行,营业周期,1y,[financial_statements] 验证 营业周期 (table)
截至2023年底深天马A的营业周期,"深天马A,000050.SZ,营业周期,S_FA_TURNDAYS","<=,2023",深天马A,营业周期,until_2023,[financial_statements] 验证 营业周期 (table)
富奥股份的利润总额YOY是多少,"富奥股份,000030.SZ,利润总额YOY,S_FA_YOYEBT",,富奥股份,利润总额YOY,10y,[financial_statements] 验证 利润总额YOY (table)
2023年新金路的利润总额YOY,"新金路,000510.SZ,利润总额YOY,S_FA_YOYEBT",2023,新金路,利润总额YOY,2023,[financial_statements] 验证 利润总额YOY (table)
新金路最近一年的EPS-YOY走势,"新金路,000510.SZ,EPS-YOY,S_FA_YOYEPS_BASIC",,新金路,EPS-YOY,1y,[financial_statements] 验证 EPS-YOY (table)
中洲控股最新的EPS-YOY,"中洲控股,000042.SZ,EPS-YOY,S_FA_YOYEPS_BASIC","ORDER BY,LIMIT 1",中洲控股,EPS-YOY,latest,[financial_statements] 验证 EPS-YOY (table)
*ST国华的归母净利润YOY是多少,"*ST国华,000004.SZ,归母净利润YOY,S_FA_YOYNETPROFIT",,*ST国华,归母净利润YOY,10y,[financial_statements] 验证 归母净利润YOY (table)
2023年山东路桥的归母净利润YOY,"山东路桥,000498.SZ,归母净利润YOY,S_FA_YOYNETPROFIT",2023,山东路桥,归母净利润YOY,2023,[financial_statements] 验证 归母净利润YOY (table)
查一下丰原药业的扣非归母净利润YOY,"丰原药业,000153.SZ,扣非归母净利润YOY,S_FA_YOYNETPROFIT_DEDUCTED",,丰原药业,扣非归母净利润YOY,10y,[financial_statements] 验证 扣非归母净利润YOY (table)
2023年兴业银锡的扣非归母净利润YOY,"兴业银锡,000426.SZ,扣非归母净利润YOY,S_FA_YOYNETPROFIT_DEDUCTED",2023,兴业银锡,扣非归母净利润YOY,2023,[financial_statements] 验证 扣非归母净利润YOY (table)
长虹华意最新的营业利润YOY,"长虹华意,000404.SZ,营业利润YOY,S_FA_YOYOP","ORDER BY,LIMIT 1",长虹华意,营业利润YOY,latest,[financial_statements] 验证 营业利润YOY (table)
2023年国药一致的营业利润YOY,"国药一致,000028.SZ,营业利润YOY,S_FA_YOYOP",2023,国药一致,营业利润YOY,2023,[financial_statements] 验证 营业利润YOY (table)
神州数码最新的净资产YOY,"神州数码,000034.SZ,净资产YOY,S_FA_YOY_EQUITY","ORDER BY,LIMIT 1",神州数码,净资产YOY,latest,[financial_statements] 验证 净资产YOY (table)
京粮控股最近一年的净资产YOY走势,"京粮控股,000505.SZ,净资产YOY,S_FA_YOY_EQUITY",,京粮控股,净资产YOY,1y,[financial_statements] 验证 净资产YOY (table)
深深房A的营业收入YOY是多少,"深深房A,000029.SZ,营业收入YOY,S_FA_YOY_OR",,深深房A,营业收入YOY,10y,[financial_statements] 验证 营业收入YOY (table)
查一下华数传媒的营业收入YOY,"华数传媒,000156.SZ,营业收入YOY,S_FA_YOY_OR",,华数传媒,营业收入YOY,10y,[financial_statements] 验证 营业收入YOY (table)
截至2023年底神州高铁的营业总收入YOY,"神州高铁,000008.SZ,营业总收入YOY,S_FA_YOY_TR","<=,2023",神州高铁,营业总收入YOY,until_2023,[financial_statements] 验证 营业总收入YOY (table)
深华发A最近一年的营业总收入YOY走势,"深华发A,000020.SZ,营业总收入YOY,S_FA_YOY_TR",,深华发A,营业总收入YOY,1y,[financial_statements] 验证 营业总收入YOY (table)
查一下藏格矿业的单季度.管理费用率,"藏格矿业,000408.SZ,单季度.管理费用率,S_QFA_ADMINEXPENSETOGR",,藏格矿业,单季度.管理费用率,10y,[financial_statements] 验证 单季度.管理费用率 (table)
常山北明的单季度.管理费用率是多少,"常山北明,000158.SZ,单季度.管理费用率,S_QFA_ADMINEXPENSETOGR",,常山北明,单季度.管理费用率,10y,[financial_statements] 验证 单季度.管理费用率 (table)
查一下深圳华强的单季度.期初现金及现金等价物余额,"深圳华强,000062.SZ,单季度.期初现金及现金等价物余额,S_QFA_CASH_CASH_EQU_BEG_PERIOD",,深圳华强,单季度.期初现金及现金等价物余额,10y,[financial_statements] 验证 单季度.期初现金及现金等价物余额 (table)
2023年中国天楹的单季度.期初现金及现金等价物余额,"中国天楹,000035.SZ,单季度.期初现金及现金等价物余额,S_QFA_CASH_CASH_EQU_BEG_PERIOD",2023,中国天楹,单季度.期初现金及现金等价物余额,2023,[financial_statements] 验证 单季度.期初现金及现金等价物余额 (table)
2023年中信海直的单季度.期末现金及现金等价物余额,"中信海直,000099.SZ,单季度.期末现金及现金等价物余额,S_QFA_CASH_CASH_EQU_END_PERIOD",2023,中信海直,单季度.期末现金及现金等价物余额,2023,[financial_statements] 验证 单季度.期末现金及现金等价物余额 (table)
潍柴动力的单季度.期末现金及现金等价物余额是多少,"潍柴动力,000338.SZ,单季度.期末现金及现金等价物余额,S_QFA_CASH_CASH_EQU_END_PERIOD",,潍柴动力,单季度.期末现金及现金等价物余额,10y,[financial_statements] 验证 单季度.期末现金及现金等价物余额 (table)
国新健康最近一年的单季度.投资支付的现金走势,"国新健康,000503.SZ,单季度.投资支付的现金,S_QFA_CASH_PAID_INVEST",,国新健康,单季度.投资支付的现金,1y,[financial_statements] 验证 单季度.投资支付的现金 (table)
截至2023年底派林生物的单季度.投资支付的现金,"派林生物,000403.SZ,单季度.投资支付的现金,S_QFA_CASH_PAID_INVEST","<=,2023",派林生物,单季度.投资支付的现金,until_2023,[financial_statements] 验证 单季度.投资支付的现金 (table)
查一下中金岭南的单季度.购建固定无形长期资产支付的现金,"中金岭南,000060.SZ,单季度.购建固定无形长期资产支付的现金,S_QFA_CASH_PAY_ACQ_CONST_FIOLTA",,中金岭南,单季度.购建固定无形长期资产支付的现金,10y,[financial_statements] 验证 单季度.购建固定无形长期资产支付的现金 (table)
截至2023年底常山北明的单季度.购建固定无形长期资产支付的现金,"常山北明,000158.SZ,单季度.购建固定无形长期资产支付的现金,S_QFA_CASH_PAY_ACQ_CONST_FIOLTA","<=,2023",常山北明,单季度.购建固定无形长期资产支付的现金,until_2023,[financial_statements] 验证 单季度.购建固定无形长期资产支付的现金 (table)
深康佳A最近一年的单季度.为职工支付的现金走势,"深康佳A,000016.SZ,单季度.为职工支付的现金,S_QFA_CASH_PAY_BEH_EMPL",,深康佳A,单季度.为职工支付的现金,1y,[financial_statements] 验证 单季度.为职工支付的现金 (table)
方大集团最近一年的单季度.为职工支付的现金走势,"方大集团,000055.SZ,单季度.为职工支付的现金,S_QFA_CASH_PAY_BEH_EMPL",,方大集团,单季度.为职工支付的现金,1y,[financial_statements] 验证 单季度.为职工支付的现金 (table)
查一下丰原药业的单季度.分配股利利润或偿付利息支付的现金,"丰原药业,000153.SZ,单季度.分配股利利润或偿付利息支付的现金,S_QFA_CASH_PAY_DIST_DPCP_INT_EXP",,丰原药业,单季度.分配股利利润或偿付利息支付的现金,10y,[financial_statements] 验证 单季度.分配股利利润或偿付利息支付的现金 (table)
查一下京粮控股的单季度.分配股利利润或偿付利息支付的现金,"京粮控股,000505.SZ,单季度.分配股利利润或偿付利息支付的现金,S_QFA_CASH_PAY_DIST_DPCP_INT_EXP",,京粮控股,单季度.分配股利利润或偿付利息支付的现金,10y,[financial_statements] 验证 单季度.分配股利利润或偿付利息支付的现金 (table)
金融街的单季度.购买商品接受劳务支付的现金是多少,"金融街,000402.SZ,单季度.购买商品接受劳务支付的现金,S_QFA_CASH_PAY_GOODS_PURCH_SERV_REC",,金融街,单季度.购买商品接受劳务支付的现金,10y,[financial_statements] 验证 单季度.购买商品接受劳务支付的现金 (table)
中金岭南最近一年的单季度.购买商品接受劳务支付的现金走势,"中金岭南,000060.SZ,单季度.购买商品接受劳务支付的现金,S_QFA_CASH_PAY_GOODS_PURCH_SERV_REC",,中金岭南,单季度.购买商品接受劳务支付的现金,1y,[financial_statements] 验证 单季度.购买商品接受劳务支付的现金 (table)
2023年中洲控股的单季度.取得借款收到的现金,"中洲控股,000042.SZ,单季度.取得借款收到的现金,S_QFA_CASH_RECP_BORROW",2023,中洲控股,单季度.取得借款收到的现金,2023,[financial_statements] 验证 单季度.取得借款收到的现金 (table)
查一下丽珠集团的单季度.取得借款收到的现金,"丽珠集团,000513.SZ,单季度.取得借款收到的现金,S_QFA_CASH_RECP_BORROW",,丽珠集团,单季度.取得借款收到的现金,10y,[financial_statements] 验证 单季度.取得借款收到的现金 (table)
截至2023年底武商集团的单季度.取得投资收益收到的现金,"武商集团,000501.SZ,单季度.取得投资收益收到的现金,S_QFA_CASH_RECP_RETURN_INVEST","<=,2023",武商集团,单季度.取得投资收益收到的现金,until_2023,[financial_statements] 验证 单季度.取得投资收益收到的现金 (table)
查一下丽珠集团的单季度.取得投资收益收到的现金,"丽珠集团,000513.SZ,单季度.取得投资收益收到的现金,S_QFA_CASH_RECP_RETURN_INVEST",,丽珠集团,单季度.取得投资收益收到的现金,10y,[financial_statements] 验证 单季度.取得投资收益收到的现金 (table)
2023年平安银行的单季度.销售商品提供劳务收到的现金,"平安银行,000001.SZ,单季度.销售商品提供劳务收到的现金,S_QFA_CASH_RECP_SG_AND_RS",2023,平安银行,单季度.销售商品提供劳务收到的现金,2023,[financial_statements] 验证 单季度.销售商品提供劳务收到的现金 (table)
查一下新金路的单季度.销售商品提供劳务收到的现金,"新金路,000510.SZ,单季度.销售商品提供劳务收到的现金,S_QFA_CASH_RECP_SG_AND_RS",,新金路,单季度.销售商品提供劳务收到的现金,10y,[financial_statements] 验证 单季度.销售商品提供劳务收到的现金 (table)
2023年京基智农的单季度.营业总收入MOM,"京基智农,000048.SZ,单季度.营业总收入MOM,S_QFA_CGRGR",2023,京基智农,单季度.营业总收入MOM,2023,[financial_statements] 验证 单季度.营业总收入MOM (table)
华控赛格最新的单季度.营业总收入MOM,"华控赛格,000068.SZ,单季度.营业总收入MOM,S_QFA_CGRGR","ORDER BY,LIMIT 1",华控赛格,单季度.营业总收入MOM,latest,[financial_statements] 验证 单季度.营业总收入MOM (table)
中成股份最近一年的单季度.归母净利润MOM走势,"中成股份,000151.SZ,单季度.归母净利润MOM,S_QFA_CGRNETPROFIT",,中成股份,单季度.归母净利润MOM,1y,[financial_statements] 验证 单季度.归母净利润MOM (table)
