query,keywords,conditions,expect_company,expect_indicator,expect_time,description
北方国际最新的短期借款,"北方国际,000065.SZ,短期借款,ST_BORROW","ORDER BY,LIMIT 1",北方国际,短期借款,latest,[financial_statements] 验证 短期借款 (table)
中国天楹最新的短期借款,"中国天楹,000035.SZ,短期借款,ST_BORROW","ORDER BY,LIMIT 1",中国天楹,短期借款,latest,[financial_statements] 验证 短期借款 (table)
查一下深科技的盈余公积,"深科技,000021.SZ,盈余公积,SURPLUS_RSRV",,深科技,盈余公积,10y,[financial_statements] 验证 盈余公积 (table)
截至2023年底中金岭南的盈余公积,"中金岭南,000060.SZ,盈余公积,SURPLUS_RSRV","<=,2023",中金岭南,盈余公积,until_2023,[financial_statements] 验证 盈余公积 (table)
2023年藏格矿业的管理费用率,"藏格矿业,000408.SZ,管理费用率,S_FA_ADMINEXPENSETOGR",2023,藏格矿业,管理费用率,2023,[financial_statements] 验证 管理费用率 (table)
常山北明最新的管理费用率,"常山北明,000158.SZ,管理费用率,S_FA_ADMINEXPENSETOGR","ORDER BY,LIMIT 1",常山北明,管理费用率,latest,[financial_statements] 验证 管理费用率 (table)
万科A的应收账款周转率是多少,"万科A,000002.SZ,应收账款周转率,S_FA_ARTURN",,万科A,应收账款周转率,10y,[financial_statements] 验证 应收账款周转率 (table)
查一下特力A的应收账款周转率,"特力A,000025.SZ,应收账款周转率,S_FA_ARTURN",,特力A,应收账款周转率,10y,[financial_statements] 验证 应收账款周转率 (table)
查一下深圳华强的应收账款周转天数,"深圳华强,000062.SZ,应收账款周转天数,S_FA_ARTURNDAYS",,深圳华强,应收账款周转天数,10y,[financial_statements] 验证 应收账款周转天数 (table)
2023年沈阳机床的应收账款周转天数,"沈阳机床,000410.SZ,应收账款周转天数,S_FA_ARTURNDAYS",2023,沈阳机床,应收账款周转天数,2023,[financial_statements] 验证 应收账款周转天数 (table)
2023年广聚能源的权益乘数,"广聚能源,000096.SZ,权益乘数,S_FA_ASSETSTOEQUITY",2023,广聚能源,权益乘数,2023,[financial_statements] 验证 权益乘数 (table)
截至2023年底国际医学的权益乘数,"国际医学,000516.SZ,权益乘数,S_FA_ASSETSTOEQUITY","<=,2023",国际医学,权益乘数,until_2023,[financial_statements] 验证 权益乘数 (table)
深深房A最近一年的总资产周转率走势,"深深房A,000029.SZ,总资产周转率,S_FA_ASSETSTURN",,深深房A,总资产周转率,1y,[financial_statements] 验证 总资产周转率 (table)
2023年潍柴动力的总资产周转率,"潍柴动力,000338.SZ,总资产周转率,S_FA_ASSETSTURN",2023,潍柴动力,总资产周转率,2023,[financial_statements] 验证 总资产周转率 (table)
截至2023年底深圳能源的每股净资产BPS,"深圳能源,000027.SZ,每股净资产BPS,S_FA_BPS","<=,2023",深圳能源,每股净资产BPS,until_2023,[financial_statements] 验证 每股净资产BPS (table)
万科A最近一年的每股净资产BPS走势,"万科A,000002.SZ,每股净资产BPS,S_FA_BPS",,万科A,每股净资产BPS,1y,[financial_statements] 验证 每股净资产BPS (table)
徐工机械的归母每股净资产BPS是多少,"徐工机械,000425.SZ,归母每股净资产BPS,S_FA_BPS_SH",,徐工机械,归母每股净资产BPS,10y,[financial_statements] 验证 归母每股净资产BPS (table)
金融街最新的归母每股净资产BPS,"金融街,000402.SZ,归母每股净资产BPS,S_FA_BPS_SH","ORDER BY,LIMIT 1",金融街,归母每股净资产BPS,latest,[financial_statements] 验证 归母每股净资产BPS (table)
截至2023年底中金岭南的货币资金／流动负债,"中金岭南,000060.SZ,货币资金／流动负债,S_FA_CASHTOLIQDEBT","<=,2023",中金岭南,货币资金／流动负债,until_2023,[financial_statements] 验证 货币资金／流动负债 (table)
查一下沈阳机床的货币资金／流动负债,"沈阳机床,000410.SZ,货币资金／流动负债,S_FA_CASHTOLIQDEBT",,沈阳机床,货币资金／流动负债,10y,[financial_statements] 验证 货币资金／流动负债 (table)
特发信息最新的流动资产周转率,"特发信息,000070.SZ,流动资产周转率,S_FA_CATURN","ORDER BY,LIMIT 1",特发信息,流动资产周转率,latest,[financial_statements] 验证 流动资产周转率 (table)
2023年招金黄金的流动资产周转率,"招金黄金,000506.SZ,流动资产周转率,S_FA_CATURN",2023,招金黄金,流动资产周转率,2023,[financial_statements] 验证 流动资产周转率 (table)
查一下深中华A的每股现金流CFPS,"深中华A,000017.SZ,每股现金流CFPS,S_FA_CFPS",,深中华A,每股现金流CFPS,10y,[financial_statements] 验证 每股现金流CFPS (table)
2023年云鼎科技的每股现金流CFPS,"云鼎科技,000409.SZ,每股现金流CFPS,S_FA_CFPS",2023,云鼎科技,每股现金流CFPS,2023,[financial_statements] 验证 每股现金流CFPS (table)
美丽生态最近一年的销售成本率走势,"美丽生态,000010.SZ,销售成本率,S_FA_COGSTOSALES",,美丽生态,销售成本率,1y,[financial_statements] 验证 销售成本率 (table)
2023年*ST国华的销售成本率,"*ST国华,000004.SZ,销售成本率,S_FA_COGSTOSALES",2023,*ST国华,销售成本率,2023,[financial_statements] 验证 销售成本率 (table)
长虹华意最近一年的流动比走势,"长虹华意,000404.SZ,流动比,S_FA_CURRENT",,长虹华意,流动比,1y,[financial_statements] 验证 流动比 (table)
深纺织A的流动比是多少,"深纺织A,000045.SZ,流动比,S_FA_CURRENT",,深纺织A,流动比,10y,[financial_statements] 验证 流动比 (table)
深天马A最近一年的资产负债率走势,"深天马A,000050.SZ,资产负债率,S_FA_DEBTTOASSETS",,深天马A,资产负债率,1y,[financial_statements] 验证 资产负债率 (table)
深圳华强的资产负债率是多少,"深圳华强,000062.SZ,资产负债率,S_FA_DEBTTOASSETS",,深圳华强,资产负债率,10y,[financial_statements] 验证 资产负债率 (table)
深桑达A最近一年的产权比率走势,"深桑达A,000032.SZ,产权比率,S_FA_DEBTTOEQUITY",,深桑达A,产权比率,1y,[financial_statements] 验证 产权比率 (table)
大悦城最近一年的产权比率走势,"大悦城,000031.SZ,产权比率,S_FA_DEBTTOEQUITY",,大悦城,产权比率,1y,[financial_statements] 验证 产权比率 (table)
京粮控股的扣非归母净利润是多少,"京粮控股,000505.SZ,扣非归母净利润,S_FA_DEDUCTEDPROFIT",,京粮控股,扣非归母净利润,10y,[financial_statements] 验证 扣非归母净利润 (table)
丰原药业的扣非归母净利润是多少,"丰原药业,000153.SZ,扣非归母净利润,S_FA_DEDUCTEDPROFIT",,丰原药业,扣非归母净利润,10y,[financial_statements] 验证 扣非归母净利润 (table)
兴业银锡最新的息税前利润,"兴业银锡,000426.SZ,息税前利润,S_FA_EBIT","ORDER BY,LIMIT 1",兴业银锡,息税前利润,latest,[financial_statements] 验证 息税前利润 (table)
查一下TCL科技的息税前利润,"TCL科技,000100.SZ,息税前利润,S_FA_EBIT",,TCL科技,息税前利润,10y,[financial_statements] 验证 息税前利润 (table)
2023年山东路桥的息税折旧摊销前利润,"山东路桥,000498.SZ,息税折旧摊销前利润,S_FA_EBITDA",2023,山东路桥,息税折旧摊销前利润,2023,[financial_statements] 验证 息税折旧摊销前利润 (table)
截至2023年底中国长城的息税折旧摊销前利润,"中国长城,000066.SZ,息税折旧摊销前利润,S_FA_EBITDA","<=,2023",中国长城,息税折旧摊销前利润,until_2023,[financial_statements] 验证 息税折旧摊销前利润 (table)
沈阳机床最新的每股收益EPS(基本),"沈阳机床,000410.SZ,每股收益EPS(基本),S_FA_EPS_BASIC","ORDER BY,LIMIT 1",沈阳机床,每股收益EPS(基本),latest,[financial_statements] 验证 每股收益EPS(基本) (table)
2023年美丽生态的每股收益EPS(基本),"美丽生态,000010.SZ,每股收益EPS(基本),S_FA_EPS_BASIC",2023,美丽生态,每股收益EPS(基本),2023,[financial_statements] 验证 每股收益EPS(基本) (table)
截至2023年底北方国际的每股收益EPS(摊薄),"北方国际,000065.SZ,每股收益EPS(摊薄),S_FA_EPS_DILUTED","<=,2023",北方国际,每股收益EPS(摊薄),until_2023,[financial_statements] 验证 每股收益EPS(摊薄) (table)
截至2023年底深圳能源的每股收益EPS(摊薄),"深圳能源,000027.SZ,每股收益EPS(摊薄),S_FA_EPS_DILUTED","<=,2023",深圳能源,每股收益EPS(摊薄),until_2023,[financial_statements] 验证 每股收益EPS(摊薄) (table)
沙河股份最近一年的每股收益EPS(稀释)走势,"沙河股份,000014.SZ,每股收益EPS(稀释),S_FA_EPS_DILUTED2",,沙河股份,每股收益EPS(稀释),1y,[financial_statements] 验证 每股收益EPS(稀释) (table)
神州数码最近一年的每股收益EPS(稀释)走势,"神州数码,000034.SZ,每股收益EPS(稀释),S_FA_EPS_DILUTED2",,神州数码,每股收益EPS(稀释),1y,[financial_statements] 验证 每股收益EPS(稀释) (table)
2023年京粮控股的每股收益EPS(扣除),"京粮控股,000505.SZ,每股收益EPS(扣除),S_FA_EPS_EX",2023,京粮控股,每股收益EPS(扣除),2023,[financial_statements] 验证 每股收益EPS(扣除) (table)
2023年华天酒店的每股收益EPS(扣除),"华天酒店,000428.SZ,每股收益EPS(扣除),S_FA_EPS_EX",2023,华天酒店,每股收益EPS(扣除),2023,[financial_statements] 验证 每股收益EPS(扣除) (table)
截至2023年底吉林化纤的每股收益EPS(扣除/基本),"吉林化纤,000420.SZ,每股收益EPS(扣除/基本),S_FA_EPS_EXBASIC","<=,2023",吉林化纤,每股收益EPS(扣除/基本),until_2023,[financial_statements] 验证 每股收益EPS(扣除/基本) (table)
2023年国药一致的每股收益EPS(扣除/基本),"国药一致,000028.SZ,每股收益EPS(扣除/基本),S_FA_EPS_EXBASIC",2023,国药一致,每股收益EPS(扣除/基本),2023,[financial_statements] 验证 每股收益EPS(扣除/基本) (table)
南玻A最近一年的每股收益EPS(扣除/稀释)走势,"南玻A,000012.SZ,每股收益EPS(扣除/稀释),S_FA_EPS_EXDILUTED",,南玻A,每股收益EPS(扣除/稀释),1y,[financial_statements] 验证 每股收益EPS(扣除/稀释) (table)
金融街的每股收益EPS(扣除/稀释)是多少,"金融街,000402.SZ,每股收益EPS(扣除/稀释),S_FA_EPS_EXDILUTED",,金融街,每股收益EPS(扣除/稀释),10y,[financial_statements] 验证 每股收益EPS(扣除/稀释) (table)
东阿阿胶最新的费用率,"东阿阿胶,000423.SZ,费用率,S_FA_EXPENSETOSALES","ORDER BY,LIMIT 1",东阿阿胶,费用率,latest,[financial_statements] 验证 费用率 (table)
深赛格最新的费用率,"深赛格,000058.SZ,费用率,S_FA_EXPENSETOSALES","ORDER BY,LIMIT 1",深赛格,费用率,latest,[financial_statements] 验证 费用率 (table)
2023年许继电气的非经常性损益,"许继电气,000400.SZ,非经常性损益,S_FA_EXTRAORDINARY",2023,许继电气,非经常性损益,2023,[financial_statements] 验证 非经常性损益 (table)
2023年中兴通讯的非经常性损益,"中兴通讯,000063.SZ,非经常性损益,S_FA_EXTRAORDINARY",2023,中兴通讯,非经常性损益,2023,[financial_statements] 验证 非经常性损益 (table)
2023年华数传媒的固定资产周转率,"华数传媒,000156.SZ,固定资产周转率,S_FA_FATURN",2023,华数传媒,固定资产周转率,2023,[financial_statements] 验证 固定资产周转率 (table)
平安银行的固定资产周转率是多少,"平安银行,000001.SZ,固定资产周转率,S_FA_FATURN",,平安银行,固定资产周转率,10y,[financial_statements] 验证 固定资产周转率 (table)
深南电A的企业自由现金流量(FCFF)是多少,"深南电A,000037.SZ,企业自由现金流量(FCFF),S_FA_FCFF",,深南电A,企业自由现金流量(FCFF),10y,[financial_statements] 验证 企业自由现金流量(FCFF) (table)
天健集团最近一年的企业自由现金流量(FCFF)走势,"天健集团,000090.SZ,企业自由现金流量(FCFF),S_FA_FCFF",,天健集团,企业自由现金流量(FCFF),1y,[financial_statements] 验证 企业自由现金流量(FCFF) (table)
深华发A最新的每股企业自由现金流FCFFPS,"深华发A,000020.SZ,每股企业自由现金流FCFFPS,S_FA_FCFFPS","ORDER BY,LIMIT 1",深华发A,每股企业自由现金流FCFFPS,latest,[financial_statements] 验证 每股企业自由现金流FCFFPS (table)
2023年中兴通讯的每股企业自由现金流FCFFPS,"中兴通讯,000063.SZ,每股企业自由现金流FCFFPS,S_FA_FCFFPS",2023,中兴通讯,每股企业自由现金流FCFFPS,2023,[financial_statements] 验证 每股企业自由现金流FCFFPS (table)
2023年潍柴动力的财务费用率,"潍柴动力,000338.SZ,财务费用率,S_FA_FINAEXPENSETOGR",2023,潍柴动力,财务费用率,2023,[financial_statements] 验证 财务费用率 (table)
查一下武商集团的财务费用率,"武商集团,000501.SZ,财务费用率,S_FA_FINAEXPENSETOGR",,武商集团,财务费用率,10y,[financial_statements] 验证 财务费用率 (table)
川能动力最近一年的毛利润走势,"川能动力,000155.SZ,毛利润,S_FA_GROSSMARGIN",,川能动力,毛利润,1y,[financial_statements] 验证 毛利润 (table)
云鼎科技的毛利润是多少,"云鼎科技,000409.SZ,毛利润,S_FA_GROSSMARGIN",,云鼎科技,毛利润,10y,[financial_statements] 验证 毛利润 (table)
沈阳机床最新的毛利率,"沈阳机床,000410.SZ,毛利率,S_FA_GROSSPROFITMARGIN","ORDER BY,LIMIT 1",沈阳机床,毛利率,latest,[financial_statements] 验证 毛利率 (table)
2023年天健集团的毛利率,"天健集团,000090.SZ,毛利率,S_FA_GROSSPROFITMARGIN",2023,天健集团,毛利率,2023,[financial_statements] 验证 毛利率 (table)
京基智农最近一年的存货周转率走势,"京基智农,000048.SZ,存货周转率,S_FA_INVTURN",,京基智农,存货周转率,1y,[financial_statements] 验证 存货周转率 (table)
截至2023年底深华发A的存货周转率,"深华发A,000020.SZ,存货周转率,S_FA_INVTURN","<=,2023",深华发A,存货周转率,until_2023,[financial_statements] 验证 存货周转率 (table)
查一下神州高铁的存货周转天数,"神州高铁,000008.SZ,存货周转天数,S_FA_INVTURNDAYS",,神州高铁,存货周转天数,10y,[financial_statements] 验证 存货周转天数 (table)
截至2023年底深圳能源的存货周转天数,"深圳能源,000027.SZ,存货周转天数,S_FA_INVTURNDAYS","<=,2023",深圳能源,存货周转天数,until_2023,[financial_statements] 验证 存货周转天数 (table)
东阿阿胶最近一年的净利率走势,"东阿阿胶,000423.SZ,净利率,S_FA_NETPROFITMARGIN",,东阿阿胶,净利率,1y,[financial_statements] 验证 净利率 (table)
深物业A最近一年的净利率走势,"深物业A,000011.SZ,净利率,S_FA_NETPROFITMARGIN",,深物业A,净利率,1y,[financial_statements] 验证 净利率 (table)
派林生物最近一年的每股经营现金流OCFPS走势,"派林生物,000403.SZ,每股经营现金流OCFPS,S_FA_OCFPS",,派林生物,每股经营现金流OCFPS,1y,[financial_statements] 验证 每股经营现金流OCFPS (table)
2023年渝开发的每股经营现金流OCFPS,"渝开发,000514.SZ,每股经营现金流OCFPS,S_FA_OCFPS",2023,渝开发,每股经营现金流OCFPS,2023,[financial_statements] 验证 每股经营现金流OCFPS (table)
2023年深粮控股的速动比,"深粮控股,000019.SZ,速动比,S_FA_QUICK",2023,深粮控股,速动比,2023,[financial_statements] 验证 速动比 (table)
截至2023年底湖北宜化的速动比,"湖北宜化,000422.SZ,速动比,S_FA_QUICK","<=,2023",湖北宜化,速动比,until_2023,[financial_statements] 验证 速动比 (table)
2023年丰原药业的总资产净利率ROA,"丰原药业,000153.SZ,总资产净利率ROA,S_FA_ROA",2023,丰原药业,总资产净利率ROA,2023,[financial_statements] 验证 总资产净利率ROA (table)
2023年藏格矿业的总资产净利率ROA,"藏格矿业,000408.SZ,总资产净利率ROA,S_FA_ROA",2023,藏格矿业,总资产净利率ROA,2023,[financial_statements] 验证 总资产净利率ROA (table)
截至2023年底京基智农的净资产收益率ROE(平均),"京基智农,000048.SZ,净资产收益率ROE(平均),S_FA_ROE","<=,2023",京基智农,净资产收益率ROE(平均),until_2023,[financial_statements] 验证 净资产收益率ROE(平均) (table)
截至2023年底中国宝安的净资产收益率ROE(平均),"中国宝安,000009.SZ,净资产收益率ROE(平均),S_FA_ROE","<=,2023",中国宝安,净资产收益率ROE(平均),until_2023,[financial_statements] 验证 净资产收益率ROE(平均) (table)
2023年华控赛格的净资产收益率ROE(扣非),"华控赛格,000068.SZ,净资产收益率ROE(扣非),S_FA_ROE_DEDUCTED",2023,华控赛格,净资产收益率ROE(扣非),2023,[financial_statements] 验证 净资产收益率ROE(扣非) (table)
2023年华塑控股的净资产收益率ROE(扣非),"华塑控股,000509.SZ,净资产收益率ROE(扣非),S_FA_ROE_DEDUCTED",2023,华塑控股,净资产收益率ROE(扣非),2023,[financial_statements] 验证 净资产收益率ROE(扣非) (table)
深科技最新的投入资本回报率ROIC,"深科技,000021.SZ,投入资本回报率ROIC,S_FA_ROIC","ORDER BY,LIMIT 1",深科技,投入资本回报率ROIC,latest,[financial_statements] 验证 投入资本回报率ROIC (table)
吉林化纤最近一年的投入资本回报率ROIC走势,"吉林化纤,000420.SZ,投入资本回报率ROIC,S_FA_ROIC",,吉林化纤,投入资本回报率ROIC,1y,[financial_statements] 验证 投入资本回报率ROIC (table)
渤海租赁最新的销售费用率,"渤海租赁,000415.SZ,销售费用率,S_FA_SALEEXPENSETOGR","ORDER BY,LIMIT 1",渤海租赁,销售费用率,latest,[financial_statements] 验证 销售费用率 (table)
深南电A最新的销售费用率,"深南电A,000037.SZ,销售费用率,S_FA_SALEEXPENSETOGR","ORDER BY,LIMIT 1",深南电A,销售费用率,latest,[financial_statements] 验证 销售费用率 (table)
深圳机场最新的营业周期,"深圳机场,000089.SZ,营业周期,S_FA_TURNDAYS","ORDER BY,LIMIT 1",深圳机场,营业周期,latest,[financial_statements] 验证 营业周期 (table)
截至2023年底南玻A的营业周期,"南玻A,000012.SZ,营业周期,S_FA_TURNDAYS","<=,2023",南玻A,营业周期,until_2023,[financial_statements] 验证 营业周期 (table)
查一下东方盛虹的利润总额YOY,"东方盛虹,000301.SZ,利润总额YOY,S_FA_YOYEBT",,东方盛虹,利润总额YOY,10y,[financial_statements] 验证 利润总额YOY (table)
查一下中国长城的利润总额YOY,"中国长城,000066.SZ,利润总额YOY,S_FA_YOYEBT",,中国长城,利润总额YOY,10y,[financial_statements] 验证 利润总额YOY (table)
2023年方大集团的EPS-YOY,"方大集团,000055.SZ,EPS-YOY,S_FA_YOYEPS_BASIC",2023,方大集团,EPS-YOY,2023,[financial_statements] 验证 EPS-YOY (table)
华天酒店最近一年的EPS-YOY走势,"华天酒店,000428.SZ,EPS-YOY,S_FA_YOYEPS_BASIC",,华天酒店,EPS-YOY,1y,[financial_statements] 验证 EPS-YOY (table)
金隅冀东的归母净利润YOY是多少,"金隅冀东,000401.SZ,归母净利润YOY,S_FA_YOYNETPROFIT",,金隅冀东,归母净利润YOY,10y,[financial_statements] 验证 归母净利润YOY (table)
胜利股份最新的归母净利润YOY,"胜利股份,000407.SZ,归母净利润YOY,S_FA_YOYNETPROFIT","ORDER BY,LIMIT 1",胜利股份,归母净利润YOY,latest,[financial_statements] 验证 归母净利润YOY (table)
华控赛格最新的扣非归母净利润YOY,"华控赛格,000068.SZ,扣非归母净利润YOY,S_FA_YOYNETPROFIT_DEDUCTED","ORDER BY,LIMIT 1",华控赛格,扣非归母净利润YOY,latest,[financial_statements] 验证 扣非归母净利润YOY (table)
查一下中国长城的扣非归母净利润YOY,"中国长城,000066.SZ,扣非归母净利润YOY,S_FA_YOYNETPROFIT_DEDUCTED",,中国长城,扣非归母净利润YOY,10y,[financial_statements] 验证 扣非归母净利润YOY (table)
查一下飞亚达的营业利润YOY,"飞亚达,000026.SZ,营业利润YOY,S_FA_YOYOP",,飞亚达,营业利润YOY,10y,[financial_statements] 验证 营业利润YOY (table)
东方盛虹的营业利润YOY是多少,"东方盛虹,000301.SZ,营业利润YOY,S_FA_YOYOP",,东方盛虹,营业利润YOY,10y,[financial_statements] 验证 营业利润YOY (table)
查一下*ST张股的净资产YOY,"*ST张股,000430.SZ,净资产YOY,S_FA_YOY_EQUITY",,*ST张股,净资产YOY,10y,[financial_statements] 验证 净资产YOY (table)
深振业A最新的净资产YOY,"深振业A,000006.SZ,净资产YOY,S_FA_YOY_EQUITY","ORDER BY,LIMIT 1",深振业A,净资产YOY,latest,[financial_statements] 验证 净资产YOY (table)
截至2023年底金融街的营业收入YOY,"金融街,000402.SZ,营业收入YOY,S_FA_YOY_OR","<=,2023",金融街,营业收入YOY,until_2023,[financial_statements] 验证 营业收入YOY (table)
截至2023年底深赛格的营业收入YOY,"深赛格,000058.SZ,营业收入YOY,S_FA_YOY_OR","<=,2023",深赛格,营业收入YOY,until_2023,[financial_statements] 验证 营业收入YOY (table)
渤海租赁的营业总收入YOY是多少,"渤海租赁,000415.SZ,营业总收入YOY,S_FA_YOY_TR",,渤海租赁,营业总收入YOY,10y,[financial_statements] 验证 营业总收入YOY (table)
长虹华意最新的营业总收入YOY,"长虹华意,000404.SZ,营业总收入YOY,S_FA_YOY_TR","ORDER BY,LIMIT 1",长虹华意,营业总收入YOY,latest,[financial_statements] 验证 营业总收入YOY (table)
富奥股份最新的单季度.管理费用率,"富奥股份,000030.SZ,单季度.管理费用率,S_QFA_ADMINEXPENSETOGR","ORDER BY,LIMIT 1",富奥股份,单季度.管理费用率,latest,[financial_statements] 验证 单季度.管理费用率 (table)
英特集团最新的单季度.管理费用率,"英特集团,000411.SZ,单季度.管理费用率,S_QFA_ADMINEXPENSETOGR","ORDER BY,LIMIT 1",英特集团,单季度.管理费用率,latest,[financial_statements] 验证 单季度.管理费用率 (table)
深桑达A最新的单季度.期初现金及现金等价物余额,"深桑达A,000032.SZ,单季度.期初现金及现金等价物余额,S_QFA_CASH_CASH_EQU_BEG_PERIOD","ORDER BY,LIMIT 1",深桑达A,单季度.期初现金及现金等价物余额,latest,[financial_statements] 验证 单季度.期初现金及现金等价物余额 (table)
查一下特发信息的单季度.期初现金及现金等价物余额,"特发信息,000070.SZ,单季度.期初现金及现金等价物余额,S_QFA_CASH_CASH_EQU_BEG_PERIOD",,特发信息,单季度.期初现金及现金等价物余额,10y,[financial_statements] 验证 单季度.期初现金及现金等价物余额 (table)
深深房A最近一年的单季度.期末现金及现金等价物余额走势,"深深房A,000029.SZ,单季度.期末现金及现金等价物余额,S_QFA_CASH_CASH_EQU_END_PERIOD",,深深房A,单季度.期末现金及现金等价物余额,1y,[financial_statements] 验证 单季度.期末现金及现金等价物余额 (table)
深华发A最近一年的单季度.期末现金及现金等价物余额走势,"深华发A,000020.SZ,单季度.期末现金及现金等价物余额,S_QFA_CASH_CASH_EQU_END_PERIOD",,深华发A,单季度.期末现金及现金等价物余额,1y,[financial_statements] 验证 单季度.期末现金及现金等价物余额 (table)
截至2023年底渤海租赁的单季度.投资支付的现金,"渤海租赁,000415.SZ,单季度.投资支付的现金,S_QFA_CASH_PAID_INVEST","<=,2023",渤海租赁,单季度.投资支付的现金,until_2023,[financial_statements] 验证 单季度.投资支付的现金 (table)
截至2023年底深圳能源的单季度.投资支付的现金,"深圳能源,000027.SZ,单季度.投资支付的现金,S_QFA_CASH_PAID_INVEST","<=,2023",深圳能源,单季度.投资支付的现金,until_2023,[financial_statements] 验证 单季度.投资支付的现金 (table)
申万宏源的单季度.购建固定无形长期资产支付的现金是多少,"申万宏源,000166.SZ,单季度.购建固定无形长期资产支付的现金,S_QFA_CASH_PAY_ACQ_CONST_FIOLTA",,申万宏源,单季度.购建固定无形长期资产支付的现金,10y,[financial_statements] 验证 单季度.购建固定无形长期资产支付的现金 (table)
中成股份最新的单季度.购建固定无形长期资产支付的现金,"中成股份,000151.SZ,单季度.购建固定无形长期资产支付的现金,S_QFA_CASH_PAY_ACQ_CONST_FIOLTA","ORDER BY,LIMIT 1",中成股份,单季度.购建固定无形长期资产支付的现金,latest,[financial_statements] 验证 单季度.购建固定无形长期资产支付的现金 (table)
截至2023年底海王生物的单季度.为职工支付的现金,"海王生物,000078.SZ,单季度.为职工支付的现金,S_QFA_CASH_PAY_BEH_EMPL","<=,2023",海王生物,单季度.为职工支付的现金,until_2023,[financial_statements] 验证 单季度.为职工支付的现金 (table)
农产品最近一年的单季度.为职工支付的现金走势,"农产品,000061.SZ,单季度.为职工支付的现金,S_QFA_CASH_PAY_BEH_EMPL",,农产品,单季度.为职工支付的现金,1y,[financial_statements] 验证 单季度.为职工支付的现金 (table)
深华发A最近一年的单季度.分配股利利润或偿付利息支付的现金走势,"深华发A,000020.SZ,单季度.分配股利利润或偿付利息支付的现金,S_QFA_CASH_PAY_DIST_DPCP_INT_EXP",,深华发A,单季度.分配股利利润或偿付利息支付的现金,1y,[financial_statements] 验证 单季度.分配股利利润或偿付利息支付的现金 (table)
TCL科技最近一年的单季度.分配股利利润或偿付利息支付的现金走势,"TCL科技,000100.SZ,单季度.分配股利利润或偿付利息支付的现金,S_QFA_CASH_PAY_DIST_DPCP_INT_EXP",,TCL科技,单季度.分配股利利润或偿付利息支付的现金,1y,[financial_statements] 验证 单季度.分配股利利润或偿付利息支付的现金 (table)
金融街的单季度.购买商品接受劳务支付的现金是多少,"金融街,000402.SZ,单季度.购买商品接受劳务支付的现金,S_QFA_CASH_PAY_GOODS_PURCH_SERV_REC",,金融街,单季度.购买商品接受劳务支付的现金,10y,[financial_statements] 验证 单季度.购买商品接受劳务支付的现金 (table)
截至2023年底中国宝安的单季度.购买商品接受劳务支付的现金,"中国宝安,000009.SZ,单季度.购买商品接受劳务支付的现金,S_QFA_CASH_PAY_GOODS_PURCH_SERV_REC","<=,2023",中国宝安,单季度.购买商品接受劳务支付的现金,until_2023,[financial_statements] 验证 单季度.购买商品接受劳务支付的现金 (table)
截至2023年底吉林化纤的单季度.取得借款收到的现金,"吉林化纤,000420.SZ,单季度.取得借款收到的现金,S_QFA_CASH_RECP_BORROW","<=,2023",吉林化纤,单季度.取得借款收到的现金,until_2023,[financial_statements] 验证 单季度.取得借款收到的现金 (table)
南玻A最新的单季度.取得借款收到的现金,"南玻A,000012.SZ,单季度.取得借款收到的现金,S_QFA_CASH_RECP_BORROW","ORDER BY,LIMIT 1",南玻A,单季度.取得借款收到的现金,latest,[financial_statements] 验证 单季度.取得借款收到的现金 (table)
查一下深康佳A的单季度.取得投资收益收到的现金,"深康佳A,000016.SZ,单季度.取得投资收益收到的现金,S_QFA_CASH_RECP_RETURN_INVEST",,深康佳A,单季度.取得投资收益收到的现金,10y,[financial_statements] 验证 单季度.取得投资收益收到的现金 (table)
截至2023年底TCL科技的单季度.取得投资收益收到的现金,"TCL科技,000100.SZ,单季度.取得投资收益收到的现金,S_QFA_CASH_RECP_RETURN_INVEST","<=,2023",TCL科技,单季度.取得投资收益收到的现金,until_2023,[financial_statements] 验证 单季度.取得投资收益收到的现金 (table)
2023年华侨城A的单季度.销售商品提供劳务收到的现金,"华侨城A,000069.SZ,单季度.销售商品提供劳务收到的现金,S_QFA_CASH_RECP_SG_AND_RS",2023,华侨城A,单季度.销售商品提供劳务收到的现金,2023,[financial_statements] 验证 单季度.销售商品提供劳务收到的现金 (table)
2023年长虹华意的单季度.销售商品提供劳务收到的现金,"长虹华意,000404.SZ,单季度.销售商品提供劳务收到的现金,S_QFA_CASH_RECP_SG_AND_RS",2023,长虹华意,单季度.销售商品提供劳务收到的现金,2023,[financial_statements] 验证 单季度.销售商品提供劳务收到的现金 (table)
深圳机场最近一年的单季度.营业总收入MOM走势,"深圳机场,000089.SZ,单季度.营业总收入MOM,S_QFA_CGRGR",,深圳机场,单季度.营业总收入MOM,1y,[financial_statements] 验证 单季度.营业总收入MOM (table)
查一下吉林化纤的单季度.营业总收入MOM,"吉林化纤,000420.SZ,单季度.营业总收入MOM,S_QFA_CGRGR",,吉林化纤,单季度.营业总收入MOM,10y,[financial_statements] 验证 单季度.营业总收入MOM (table)
查一下南玻A的单季度.归母净利润MOM,"南玻A,000012.SZ,单季度.归母净利润MOM,S_QFA_CGRNETPROFIT",,南玻A,单季度.归母净利润MOM,10y,[financial_statements] 验证 单季度.归母净利润MOM (table)
